Sample in Buffer,Sample in Window,TRIGGER,capture_addr[16:0],capture_data[11:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX
0,0,0,0aa00,122
1,1,0,0aa00,122
2,2,0,0aa00,122
3,3,0,0aa00,122
4,4,0,0aa00,122
5,5,0,0aa00,122
6,6,0,0aa00,122
7,7,0,0aa00,122
8,8,0,0aa00,122
9,9,0,0aa00,122
10,10,0,0aa00,122
11,11,0,0aa00,122
12,12,0,0aa00,122
13,13,0,0aa00,122
14,14,0,0aa00,122
15,15,0,0aa00,122
16,16,0,0aa00,122
17,17,0,0aa00,122
18,18,0,0aa00,122
19,19,0,0aa00,122
20,20,0,0aa00,122
21,21,0,0aa00,122
22,22,0,0aa00,122
23,23,0,0aa00,122
24,24,0,0aa00,122
25,25,0,0aa00,122
26,26,0,0aa00,122
27,27,0,0aa00,122
28,28,0,0aa00,122
29,29,0,0aa00,122
30,30,0,0aa00,122
31,31,0,0aa00,122
32,32,0,0aa00,122
33,33,0,0aa00,122
34,34,0,0aa00,122
35,35,0,0aa00,122
36,36,0,0aa00,122
37,37,0,0aa00,122
38,38,0,0aa00,122
39,39,0,0aa00,122
40,40,0,0aa00,122
41,41,0,0aa00,122
42,42,0,0aa00,122
43,43,0,0aa00,122
44,44,0,0aa00,122
45,45,0,0aa00,122
46,46,0,0aa00,122
47,47,0,0aa00,122
48,48,0,0aa00,122
49,49,0,0aa00,122
50,50,0,0aa00,122
51,51,0,0aa00,122
52,52,0,0aa00,122
53,53,0,0aa00,122
54,54,0,0aa00,122
55,55,0,0aa00,122
56,56,0,0aa00,122
57,57,0,0aa00,122
58,58,0,0aa00,122
59,59,0,0aa00,122
60,60,0,0aa00,122
61,61,0,0aa00,122
62,62,0,0aa00,122
63,63,0,0aa00,122
64,64,0,0aa00,122
65,65,0,0aa00,122
66,66,0,0aa00,122
67,67,0,0aa00,122
68,68,0,0aa00,122
69,69,0,0aa00,122
70,70,0,0aa00,122
71,71,0,0aa00,122
72,72,0,0aa00,122
73,73,0,0aa00,122
74,74,0,0aa00,122
75,75,0,0aa00,122
76,76,0,0aa00,122
77,77,0,0aa00,122
78,78,0,0aa00,122
79,79,0,0aa00,122
80,80,0,0aa00,122
81,81,0,0aa00,122
82,82,0,0aa00,122
83,83,0,0aa00,122
84,84,0,0aa00,122
85,85,0,0aa00,122
86,86,0,0aa00,122
87,87,0,0aa00,122
88,88,0,0aa00,122
89,89,0,0aa00,122
90,90,0,0aa00,122
91,91,0,0aa00,122
92,92,0,0aa00,122
93,93,0,0aa00,122
94,94,0,0aa00,122
95,95,0,0aa00,122
96,96,0,0aa00,122
97,97,0,0aa00,122
98,98,0,0aa00,122
99,99,0,0aa00,122
100,100,0,0aa00,122
101,101,0,0aa00,122
102,102,0,0aa00,122
103,103,0,0aa00,122
104,104,0,0aa00,122
105,105,0,0aa00,122
106,106,0,0aa00,122
107,107,0,0aa00,122
108,108,0,0aa00,122
109,109,0,0aa00,122
110,110,0,0aa00,122
111,111,0,0aa00,122
112,112,0,0aa00,122
113,113,0,0aa00,122
114,114,0,0aa00,122
115,115,0,0aa00,122
116,116,0,0aa00,122
117,117,0,0aa00,122
118,118,0,0aa00,122
119,119,0,0aa00,122
120,120,0,0aa00,122
121,121,0,0aa00,122
122,122,0,0aa00,122
123,123,0,0aa00,122
124,124,0,0aa00,122
125,125,0,0aa00,122
126,126,0,0aa00,122
127,127,0,0aa00,122
128,128,0,0aa00,122
129,129,0,0aa00,122
130,130,0,0aa00,122
131,131,0,0aa00,122
132,132,0,0aa00,122
133,133,0,0aa00,122
134,134,0,0aa00,122
135,135,0,0aa00,122
136,136,0,0aa00,122
137,137,0,0aa00,122
138,138,0,0aa00,122
139,139,0,0aa00,122
140,140,0,0aa00,122
141,141,0,0aa00,122
142,142,0,0aa00,122
143,143,0,0aa00,122
144,144,0,0aa00,122
145,145,0,0aa00,122
146,146,0,0aa00,122
147,147,0,0aa00,122
148,148,0,0aa00,122
149,149,0,0aa00,122
150,150,0,0aa00,122
151,151,0,0aa00,122
152,152,0,0aa00,122
153,153,0,0aa00,122
154,154,0,0aa00,122
155,155,0,0aa00,122
156,156,0,0aa00,122
157,157,0,0aa00,122
158,158,0,0aa00,122
159,159,0,0aa00,122
160,160,0,0aa00,122
161,161,0,0aa00,122
162,162,0,0aa00,122
163,163,0,0aa00,122
164,164,0,0aa00,122
165,165,0,0aa00,122
166,166,0,0aa00,122
167,167,0,0aa00,122
168,168,0,0aa00,122
169,169,0,0aa00,122
170,170,0,0aa00,122
171,171,0,0aa00,122
172,172,0,0aa00,122
173,173,0,0aa00,122
174,174,0,0aa00,122
175,175,0,0aa00,122
176,176,0,0aa00,122
177,177,0,0aa00,122
178,178,0,0aa00,122
179,179,0,0aa00,122
180,180,0,0aa00,122
181,181,0,0aa00,122
182,182,0,0aa00,122
183,183,0,0aa00,122
184,184,0,0aa00,122
185,185,0,0aa00,122
186,186,0,0aa00,122
187,187,0,0aa00,122
188,188,0,0aa00,122
189,189,0,0aa00,122
190,190,0,0aa00,122
191,191,0,0aa00,122
192,192,0,0aa00,122
193,193,0,0aa00,122
194,194,0,0aa00,122
195,195,0,0aa00,122
196,196,0,0aa00,122
197,197,0,0aa00,122
198,198,0,0aa00,122
199,199,0,0aa00,122
200,200,0,0aa00,122
201,201,0,0aa00,122
202,202,0,0aa00,122
203,203,0,0aa00,122
204,204,0,0aa00,122
205,205,0,0aa00,122
206,206,0,0aa00,122
207,207,0,0aa00,122
208,208,0,0aa00,122
209,209,0,0aa00,122
210,210,0,0aa00,122
211,211,0,0aa00,122
212,212,0,0aa00,122
213,213,0,0aa00,122
214,214,0,0aa00,122
215,215,0,0aa00,122
216,216,0,0aa00,122
217,217,0,0aa00,122
218,218,0,0aa00,122
219,219,0,0aa00,122
220,220,0,0aa00,122
221,221,0,0aa00,122
222,222,0,0aa00,122
223,223,0,0aa00,122
224,224,0,0aa00,122
225,225,0,0aa00,122
226,226,0,0aa00,122
227,227,0,0aa00,122
228,228,0,0aa00,122
229,229,0,0aa00,122
230,230,0,0aa00,122
231,231,0,0aa00,122
232,232,0,0aa00,122
233,233,0,0aa00,122
234,234,0,0aa00,122
235,235,0,0aa00,122
236,236,0,0aa00,122
237,237,0,0aa00,122
238,238,0,0aa00,122
239,239,0,0aa00,122
240,240,0,0aa00,122
241,241,0,0aa00,122
242,242,0,0aa00,122
243,243,0,0aa00,122
244,244,0,0aa00,122
245,245,0,0aa00,122
246,246,0,0aa00,122
247,247,0,0aa00,122
248,248,0,0aa00,122
249,249,0,0aa00,122
250,250,0,0aa00,122
251,251,0,0aa00,122
252,252,0,0aa00,122
253,253,0,0aa00,122
254,254,0,0aa00,122
255,255,0,0aa00,122
256,256,0,0aa00,122
257,257,0,0aa00,122
258,258,0,0aa00,122
259,259,0,0aa00,122
260,260,0,0aa00,122
261,261,0,0aa00,122
262,262,0,0aa00,122
263,263,0,0aa00,122
264,264,0,0aa00,122
265,265,0,0aa00,122
266,266,0,0aa00,122
267,267,0,0aa00,122
268,268,0,0aa00,122
269,269,0,0aa00,122
270,270,0,0aa00,122
271,271,0,0aa00,122
272,272,0,0aa00,122
273,273,0,0aa00,122
274,274,0,0aa00,122
275,275,0,0aa00,122
276,276,0,0aa00,122
277,277,0,0aa00,122
278,278,0,0aa00,122
279,279,0,0aa00,122
280,280,0,0aa00,122
281,281,0,0aa00,122
282,282,0,0aa00,122
283,283,0,0aa00,122
284,284,0,0aa00,122
285,285,0,0aa00,122
286,286,0,0aa00,122
287,287,0,0aa00,122
288,288,0,0aa00,122
289,289,0,0aa00,122
290,290,0,0aa00,122
291,291,0,0aa00,122
292,292,0,0aa00,122
293,293,0,0aa00,122
294,294,0,0aa00,122
295,295,0,0aa00,122
296,296,0,0aa00,122
297,297,0,0aa00,122
298,298,0,0aa00,122
299,299,0,0aa00,122
300,300,0,0aa00,122
301,301,0,0aa00,122
302,302,0,0aa00,122
303,303,0,0aa00,122
304,304,0,0aa00,122
305,305,0,0aa00,122
306,306,0,0aa00,122
307,307,0,0aa00,122
308,308,0,0aa00,122
309,309,0,0aa00,122
310,310,0,0aa00,122
311,311,0,0aa00,122
312,312,0,0aa00,122
313,313,0,0aa00,122
314,314,0,0aa00,122
315,315,0,0aa00,122
316,316,0,0aa00,122
317,317,0,0aa00,122
318,318,0,0aa00,122
319,319,0,0aa00,122
320,320,0,0aa00,122
321,321,0,0aa00,122
322,322,0,0aa00,122
323,323,0,0aa00,122
324,324,0,0aa00,122
325,325,0,0aa00,122
326,326,0,0aa00,122
327,327,0,0aa00,122
328,328,0,0aa00,122
329,329,0,0aa00,122
330,330,0,0aa00,122
331,331,0,0aa00,122
332,332,0,0aa00,122
333,333,0,0aa00,122
334,334,0,0aa00,122
335,335,0,0aa00,122
336,336,0,0aa00,122
337,337,0,0aa00,122
338,338,0,0aa00,122
339,339,0,0aa00,122
340,340,0,0aa00,122
341,341,0,0aa00,122
342,342,0,0aa00,122
343,343,0,0aa00,122
344,344,0,0aa00,122
345,345,0,0aa00,122
346,346,0,0aa00,122
347,347,0,0aa00,122
348,348,0,0aa00,122
349,349,0,0aa00,122
350,350,0,0aa00,122
351,351,0,0aa00,122
352,352,0,0aa00,122
353,353,0,0aa00,122
354,354,0,0aa00,122
355,355,0,0aa00,122
356,356,0,0aa00,122
357,357,0,0aa00,122
358,358,0,0aa00,122
359,359,0,0aa00,122
360,360,0,0aa00,122
361,361,0,0aa00,122
362,362,0,0aa00,122
363,363,0,0aa00,122
364,364,0,0aa00,122
365,365,0,0aa00,122
366,366,0,0aa00,122
367,367,0,0aa00,122
368,368,0,0aa00,122
369,369,0,0aa00,122
370,370,0,0aa00,122
371,371,0,0aa00,122
372,372,0,0aa00,122
373,373,0,0aa00,122
374,374,0,0aa00,122
375,375,0,0aa00,122
376,376,0,0aa00,122
377,377,0,0aa00,122
378,378,0,0aa00,122
379,379,0,0aa00,122
380,380,0,0aa00,122
381,381,0,0aa00,122
382,382,0,0aa00,122
383,383,0,0aa00,122
384,384,0,0aa00,122
385,385,0,0aa00,122
386,386,0,0aa00,122
387,387,0,0aa00,122
388,388,0,0aa00,122
389,389,0,0aa00,122
